global_auroc,brct_auroc,ring_auroc,other_auroc,poison_fraction,trial,target_domain,flip_direction,n_flipped
0.8826092967903025,0.8497755361130656,0.830491295015502,0.9654021810939939,0.0,0,BRCT,both,0
0.880993658479646,0.8388792866101746,0.855345644100712,0.9577185641929091,0.0,1,BRCT,both,0
0.883889402644547,0.8407071186025881,0.8435913597492419,0.9678245550204418,0.0,2,BRCT,both,0
0.8888224619812438,0.8522591697512925,0.8441109331879664,0.9710511953888724,0.0,3,BRCT,both,0
0.8937133105596242,0.8560066077273699,0.8756004906136079,0.9549467173482187,0.0,4,BRCT,both,0
0.8798733504961702,0.8406975588118328,0.8371009505638649,0.9637266260065299,0.0,5,BRCT,both,0
0.8892609370013047,0.8528404050292148,0.8675343259173453,0.9521509340022788,0.0,6,BRCT,both,0
0.8870926823343239,0.846922894551684,0.8419815338489318,0.9714772651111132,0.0,7,BRCT,both,0
0.8911095959267479,0.8600981981706385,0.8486848829682124,0.9618787281100696,0.0,8,BRCT,both,0
0.8860318139901097,0.8530679280491908,0.8461977445402201,0.9573882404756663,0.0,9,BRCT,both,0
0.8798970402074702,0.8306272752301997,0.8393070082791045,0.9693181926984097,0.1,0,BRCT,both,173
0.8707334291546263,0.820882024534247,0.8192225137133318,0.9716591825206093,0.1,1,BRCT,both,173
0.8719308363803326,0.8214479641469606,0.8319903921501822,0.9671543329854562,0.1,2,BRCT,both,173
0.876587802899879,0.8293596469760469,0.8377908759497121,0.966929329873711,0.1,3,BRCT,both,173
0.8834840932203061,0.8346060601425556,0.8454737487649484,0.9709841731853738,0.1,4,BRCT,both,173
0.8682115517062406,0.8147599345345529,0.8267861401655822,0.9682219009411832,0.1,5,BRCT,both,173
0.8718959478964182,0.8214537000214139,0.8301931791080372,0.97069693517038,0.1,6,BRCT,both,173
0.8721100167421652,0.8257517819449967,0.820414977343191,0.9705676780636328,0.1,7,BRCT,both,173
0.8953642680762187,0.8464372571813148,0.8631392456815782,0.975761898834771,0.1,8,BRCT,both,173
0.8686284906251198,0.8157120896937807,0.8268287281523627,0.9681740279386843,0.1,9,BRCT,both,173
0.8700537498013295,0.8187559270702682,0.823873121869783,0.9705054431603841,0.2,0,BRCT,both,347
0.8653713706823888,0.8145266756401236,0.8145804231542366,0.9702852273488889,0.2,1,BRCT,both,347
0.8655285842210155,0.8146184496313744,0.8198272631256177,0.9674607202014496,0.2,2,BRCT,both,347
0.8720411012183834,0.8203371164611949,0.8312834315696227,0.9687197801671725,0.2,3,BRCT,both,347
0.8957984358760434,0.8452881703325278,0.8679261353957275,0.9701511829418918,0.2,4,BRCT,both,347
0.8681973378794607,0.810939842148735,0.8239753330380567,0.9700219258351446,0.2,5,BRCT,both,347
0.8618308356481054,0.8055500321208968,0.8210026915607644,0.9668910314717117,0.2,6,BRCT,both,347
0.8661303028880342,0.8108174768270673,0.81640318898845,0.9709219382821251,0.2,7,BRCT,both,347
0.8710065069176111,0.8219661048058979,0.8219651800620081,0.9681309422364351,0.2,8,BRCT,both,347
0.8677782453504634,0.8115229893848084,0.8267009641920205,0.9692224466934117,0.2,9,BRCT,both,347
0.8549909699127745,0.7917246627305821,0.8127661749173793,0.9622760740308112,0.4,0,BRCT,both,694
0.8622973075997025,0.8024239805439138,0.8131409492010494,0.9643011020365174,0.4,1,BRCT,both,694
0.8581537617323295,0.7949176328428526,0.8134135123164459,0.9662974062407246,0.4,2,BRCT,both,694
